CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ENVS 22 (50423),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,ALAM 102,"Gray, Leslie",4.00,None
ENVS 22 (51449),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Civic Engagement",TR 03:50 PM - 5:30pm,ALAM 102,"Gray, Leslie",4.00,None
ENVS 122 (50419),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,KENNA 105,"Bacon, Christopher Manes",5.00,None
ETHN 165 (50438),Community Based Rsch Methods,"Democracy (Pathway), Civic Engagement, Diversity",TR 10:20 AM - 12pm,OCONR 103,"Fernandez, Jesica Siham",5.00,5
HIST 95 (50472),Modern Latin America,"Democracy (Pathway), Gender, Globalization & Empire (Pathway), Cultures and Ideas 3",MWF 01:00 PM - 2:05pm,OCONR 209,"Carrillo, Mateo Jesus",4.00,11
HIST 128 (54479),Crime/Poverty/Pros Vict London,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,30
POLI 2 (52009),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 02:00 PM - 3:40pm,KENNA 212,"Curry, Jane L",4.00,18
POLI 2 (50765),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 08:30 AM - 10:10am,KENNA 105,"Faulve-Montojo, Kenneth Wilfred",4.00,4
POLI 2 (50768),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 10:20 AM - 12pm,KENNA 304,"Curry, Jane L",4.00,1
POLI 2 (50764),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 10:30 AM - 11:35am,KENNA 105,"Morlang, Diana",4.00,None
POLI 2 (50771),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 12:10 PM - 1:50pm,KENNA 105,"Senzai, Farid D",4.00,None
POLI 119 (55440),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,30
POLI 119 (55442),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,30
POLI 119 (55454),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,28
POLI 119 (56316),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
POLI 119 (56324),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,30
POLI 157 (51736),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,KENNA 105,"Bacon, Christopher Manes",5.00,None
POLI 198A (56378),Public Sector Study & Intern,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
POLI 198A (56384),Public Sector Study & Intern,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
SOCI 30 (51684),"Self, Community, and Society","Democracy (Pathway), Civic Engagement, Experiential Learning for Social Justice",TR 08:30 AM - 10:10am,OCONR 104,"Nichols, Laura Ann",4.00,None
SOCI 161 (50843),The Criminal Justice Systems,"Democracy (Pathway), Law & Social Justice (Pathway), Civic Engagement",TR 03:50 PM - 5:30pm,KENNA 111,"Lopez-Aguado, Patrick Anthony",5.00,9
