CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ARTH 66 (59822),Fabricating Nature in EastAsia,"Beauty (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Cultures and Ideas 3, Religion Theology & Culture 2",TR 12:10 PM - 1:50pm,DOWD 208,"Clydesdale, Heather D",4.00,None
ARTH 185 (59824),Post-Modern & Contemporary Art,"Beauty (Pathway), Diversity",MW 03:30 PM - 5:15pm,DOWD 208,"Gilman, Bridget",5.00,None
ARTS 43 (58403),Basic Painting,"Beauty (Pathway), Arts",MW 03:30 PM - 5:50pm,DOWD 320,"Eastburn, Jessica",4.00,None
ARTS 72 (59828),Digital Art and Design Basics,"Beauty (Pathway), Design Thinking (Pathway), Arts",MW 03:30 PM - 5:50pm,DOWD 302,"Martin, Michael",4.00,None
ARTS 74 (60140),Basic Digital Imaging,"Beauty (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 302,"Heitmuller, Danielle",4.00,None
ARTS 74 (59759),Basic Digital Imaging,"Beauty (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 11:00 AM - 1:20pm,DOWD 304,"Karimi, Pantea",4.00,None
MUSC 8 (58886),Intro to Listening: Western,"Beauty (Pathway), Arts",MWF 08:00 AM - 9:05am,MDF 119,"Fister, Daniel",4.00,2
RSOC 66 (60586),Fabricating Nature in E Asia,"Beauty (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Cultures and Ideas 3, Religion Theology & Culture 2",TR 12:10 PM - 1:50pm,DOWD 208,"Clydesdale, Heather D",4.00,None
THTR 30 (59221),Intro to Design,"Beauty (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,MAYER 231,"Kenyon, Heather",4.00,None
THTR 122 (59230),Act Styl II:Acting for Camera,"Beauty (Pathway), Cinema Studies (Pathway)",TR 10:20 AM - 12pm,MAYER RH,"Billingslea, Aldo L",5.00,8
